0.0,530,4.78,3.75,3.15,450,1
-5.0,530,4.78,3.75,3.15,125,1
-5.0,530,4.78,3.75,3.15,150,1
-5.0,530,4.78,3.75,3.15,175,1
-5.0,530,4.78,3.75,3.15,200,1
-5.0,530,4.78,3.75,3.15,225,1
-5.0,530,4.78,3.75,3.15,250,1
-5.0,530,4.78,3.75,3.15,275,1
-5.0,530,4.78,3.75,3.15,300,1
-5.0,530,4.78,3.75,3.15,325,1
-5.0,530,4.78,3.75,3.15,350,1
-5.0,530,4.78,3.75,3.15,375,1
-5.0,530,4.78,3.75,3.15,400,1
-5.0,530,4.78,3.75,3.15,425,1
-5.0,530,4.78,3.75,3.15,450,1
-2.3,600,5.10,4.17,3.51,125,1
-2.3,600,5.10,4.17,3.51,150,1
-2.3,600,5.10,4.17,3.51,450,1
-2.3,600,4.34,4.23,2.73,125,1
-2.3,600,4.34,4.23,2.73,150,1
-2.3,600,4.34,4.23,2.73,175,1
-2.3,600,4.34,4.23,2.73,200,1
-2.3,600,4.34,4.23,2.73,225,1
-2.3,600,4.34,4.23,2.73,250,1
-2.3,600,4.34,4.23,2.73,275,1
-2.3,600,4.34,4.23,2.73,300,1
-2.3,600,4.34,4.23,2.73,325,1
-2.3,600,4.34,4.23,2.73,350,1
-2.3,600,4.34,4.23,2.73,375,1
-2.3,600,4.34,4.23,2.73,400,1
-2.3,600,4.34,4.23,2.73,425,1
-2.3,600,4.34,4.23,2.73,450,1
-2.3,600,5.10,4.17,3.51,175,1
-2.3,600,5.10,4.17,3.51,200,1
-2.3,600,5.10,4.17,3.51,225,1
-2.3,600,5.10,4.17,3.51,250,1
-2.3,600,5.10,4.17,3.51,275,1
-2.3,600,5.10,4.17,3.51,300,1
-2.3,600,5.10,4.17,3.51,325,1
-2.3,600,5.10,4.17,3.51,350,1
-2.3,600,5.10,4.17,3.51,375,1
-2.3,600,5.10,4.17,3.51,400,1
-2.3,600,5.10,4.17,3.51,425,1

