942528708.514,169382354.583,171569529.249,1413358968.27,7231140224.93,166392810.106,147119554.089,26233956.099,115338195.963,366705391.115,69413887.9928,189343941.671,54148859003.9
169382354.583,30440015.6789,30832863.284,253995746.49,1299511992.75,29902498.6463,26438849.9121,4714526.60713,20727464.583,65900911.9862,12474383.6178,34027052.3734,9731104490.49
171569529.249,30832863.284,31231002.7681,257275393.514,1316292541.91,30288666.2464,26780334.3673,4775397.64579,20995137.4619,66751783.5046,12635486.322,34466485.6865,9856774747.04
1413358968.27,253995746.49,257275393.514,2119390193.41,10843380884.1,249512480.056,220611365.324,39338891.5596,172954129.364,549889074.209,104088852.839,283928645.39,81198242417.1
7231140224.93,1299511992.75,1316292541.91,10843380884.1,55477802368.7,1276576426.36,1128710866.76,201268530.662,884882275.777,2813387001.59,532547840.566,1452658898.47,415433600930.0
166392810.106,29902498.6463,30288666.2464,249512480.056,1276576426.36,29374837.2055,25972386.3261,4631303.12294,20361693.4624,64737651.3257,12254249.8132,33426589.4312,9559382086.19
147119554.089,26438849.9121,26780334.3673,220611365.324,1128710866.76,25972386.3261,22964098.7321,4094853.27014,18003231.7142,57239035.7764,10834853.2075,29554840.1615,8452131709.27
26233956.099,4714526.60713,4775397.64579,39338891.5596,201268530.662,4631303.12294,4094853.27014,730188.122446,3210271.68272,10206731.2927,1932036.77318,5270114.46865,1507154428.13
115338195.963,20727464.583,20995137.4619,172954129.364,884882275.777,20361693.4624,18003231.7142,3210271.68272,14114109.239,44874084.3747,8494255.37508,23170247.6157,6626258059.23
366705391.115,65900911.9862,66751783.5046,549889074.209,2813387001.59,64737651.3257,57239035.7764,10206731.2927,44874084.3747,142673238.94,27006490.0594,73667037.6561,21067473870.1
69413887.9928,12474383.6178,12635486.322,104088852.839,532547840.566,12254249.8132,10834853.2075,1932036.77318,8494255.37508,27006490.0594,5112096.25993,13944525.9441,3987872419.03
189343941.671,34027052.3734,34466485.6865,283928645.39,1452658898.47,33426589.4312,29554840.1615,5270114.46865,23170247.6157,73667037.6561,13944525.9441,38037264.713,10877934356.8
54148859003.9,9731104490.49,9856774747.04,81198242417.1,415433600930.0,9559382086.19,8452131709.27,1507154428.13,6626258059.23,21067473870.1,3987872419.03,10877934356.8,3.11090013178e+12
