0.49788,-0.48246,-0.61113,-0.57009,-0.31685,1.02119,-1.50796,-0.84732,-1.47955,-0.00665,-1.37983,-0.52593
-0.07854,-0.48246,-0.61113,-0.28519,-0.31685,1.98437,-1.76250,0.14143,1.45039,-0.89891,0.19268,-0.52593
-0.07854,0.48246,1.98437,0.96082,-0.31685,-1.43907,0.80523,-0.01928,2.46262,-0.27607,-0.21712,-0.21575
-0.07854,0.48246,0.45468,0.96082,-0.31685,0.73545,-0.30033,-0.31776,0.43852,-0.40581,-1.37983,-0.21575
-0.07854,0.48246,0.45468,0.96082,-0.31685,-0.46725,0.80523,-0.97631,1.45039,1.13407,-1.37983,-1.18084
1.09449,-0.48246,1.16365,0.96082,-0.31685,-0.92104,-0.30033,-0.01928,-0.30172,-0.40581,1.29221,-0.21575
0.49788,-0.48246,-0.05921,0.96082,-0.31685,-0.46725,0.63779,-0.17779,-0.15487,-0.65253,0.88113,-0.21575
-0.95197,-0.48246,-0.61113,-0.57009,-0.31685,0.13606,-1.76250,-0.45174,0.28783,-0.40581,-0.71126,-0.52593
1.82213,-0.48246,1.98437,0.96082,-0.31685,-1.19430,0.00332,0.72330,-1.21213,1.13407,-0.21712,0.07987
1.09449,0.48246,0.45468,0.96082,-0.31685,0.62967,-0.57545,0.72330,-0.15487,0.41594,0.52975,-0.84637
-0.07854,0.48246,1.16365,-0.57009,-0.31685,-1.69163,0.80523,0.72330,-0.15487,-0.00665,-0.21712,0.07987
-0.95197,-0.48246,-0.61113,-0.57009,-0.31685,1.37297,-0.94779,2.15324,-1.77200,-1.92173,1.86203,0.40148
0.49788,0.48246,0.45468,-0.57009,-0.31685,1.98437,-0.80615,2.15324,0.76096,-0.00665,1.29221,1.92173
-0.07854,0.48246,-0.05921,0.96082,-0.31685,-0.58016,0.47617,-1.97495,0.28783,0.93949,-0.71126,-0.84637
-0.95197,-0.48246,-0.61113,-0.57009,-0.31685,-0.34799,-0.69509,-0.58331,0.28783,-1.13788,-0.21712,-0.52593
-0.95197,-0.48246,-1.22751,0.24923,-0.31685,0.41667,0.16767,-0.01928,-0.91699,-0.89891,0.52975,0.07987
1.82213,-0.48246,-0.61113,0.96082,-0.31685,0.62967,-1.76250,-1.11902,-0.76096,-1.78169,0.52975,0.07987
-0.95197,-0.48246,0.45468,0.96082,-0.31685,-0.92104,0.32197,-1.42424,-0.60633,1.81175,-0.21712,0.07987
-0.95197,0.48246,-0.05921,0.96082,-0.31685,-0.46725,0.80523,-0.58331,0.94156,-0.14277,0.52975,-0.84637
0.49788,0.48246,0.45468,0.96082,-0.31685,-0.46725,0.96248,-0.84732,0.28783,1.13407,0.19268,-0.21575
1.09449,0.48246,0.45468,0.96082,-0.31685,-1.05308,1.28610,-0.84732,0.94156,-0.14277,-0.21712,-0.52593
0.49788,0.48246,-1.22751,0.96082,-0.31685,-0.79151,-0.80615,0.72330,-0.91699,0.25953,-0.71126,-0.21575
-0.07854,0.48246,0.45468,0.96082,-0.31685,0.04257,1.74091,0.58331,0.13136,-0.14277,1.29221,1.22470
0.49788,0.48246,1.16365,0.96082,-0.31685,-0.79151,0.63779,-0.84732,-1.07533,0.25953,-0.71126,-0.21575
0.49788,0.48246,1.98437,0.96082,0.11440,-2.34360,1.74091,-0.01928,0.59042,2.63199,0.88113,-0.21575
